"No.","Time","Source","Destination","Protocol","Length","Info"
"186","03:38:28.974393941","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"187","03:38:33.272574015","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"188","03:38:33.273817485","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"189","03:38:33.275067706","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"190","03:38:39.314417358","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"191","03:38:39.315732561","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"192","03:38:39.316948162","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"193","03:38:44.434417558","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"194","03:38:44.435763935","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"195","03:38:44.437042641","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"196","03:38:46.585025744","94.130.12.30","192.168.1.103","TLSv1.2","515","Application Data"
"197","03:38:46.585049193","192.168.1.103","94.130.12.30","TCP","66","59498  >  443 [ACK] Seq=1367 Ack=3204 Win=64128 Len=0 TSval=2453394314 TSecr=860046908"
"198","03:38:47.608641227","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"199","03:38:47.609957862","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"200","03:38:47.611202896","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"201","03:38:50.680684827","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"202","03:38:50.683226391","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"203","03:38:51.645392794","LiteonTe_81:a3:7b","Tp-LinkT_4e:78:74","ARP","42","Who has 192.168.1.1? Tell 192.168.1.103"
"204","03:38:51.651533963","Tp-LinkT_4e:78:74","LiteonTe_81:a3:7b","ARP","42","192.168.1.1 is at ac:84:c6:4e:78:74"
"205","03:38:57.541596875","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"206","03:38:57.542880156","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"207","03:38:57.544159980","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"208","03:39:03.583204939","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"209","03:39:03.584487724","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"210","03:39:03.585805704","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"211","03:39:07.373168065","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"212","03:39:07.374413719","fe80::ae84:c6ff:fe4e:7874","ff02::1","ICMPv6","86","Router Advertisement from ac:84:c6:4e:78:74"
"213","03:39:12.392590514","192.168.1.1","239.255.255.250","SSDP","459","NOTIFY * HTTP/1.1 "
"214","03:39:12.396961027","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"215","03:39:12.401878693","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"216","03:39:12.406606445","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"217","03:39:12.410911671","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"218","03:39:12.415590017","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"219","03:39:12.420525914","192.168.1.1","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"220","03:39:12.424866494","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"221","03:39:12.495406352","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"222","03:39:12.500130537","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
"223","03:39:12.504354574","192.168.1.1","239.255.255.250","SSDP","459","NOTIFY * HTTP/1.1 "
"224","03:39:12.508656403","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"225","03:39:12.513448512","192.168.1.1","239.255.255.250","SSDP","531","NOTIFY * HTTP/1.1 "
"226","03:39:12.518255781","192.168.1.1","239.255.255.250","SSDP","523","NOTIFY * HTTP/1.1 "
"227","03:39:12.522606266","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"228","03:39:12.527223258","192.168.1.1","239.255.255.250","SSDP","507","NOTIFY * HTTP/1.1 "
"229","03:39:12.597955845","192.168.1.1","239.255.255.250","SSDP","539","NOTIFY * HTTP/1.1 "
"230","03:39:12.602344240","192.168.1.1","239.255.255.250","SSDP","468","NOTIFY * HTTP/1.1 "
"231","03:39:12.608030812","192.168.1.1","239.255.255.250","SSDP","527","NOTIFY * HTTP/1.1 "
"232","03:39:12.612780180","192.168.1.1","239.255.255.250","SSDP","521","NOTIFY * HTTP/1.1 "
